CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8
-1.85E-02,2.52E-02,1.38E-02,-6.04E-03,3.83E-02,1.99E-02,-1.46E-04,1.51E-03
-1.85E-02,2.53E-02,1.38E-02,-6.05E-03,3.84E-02,1.98E-02,-1.70E-04,1.52E-03
-1.82E-02,2.47E-02,1.39E-02,-5.82E-03,3.78E-02,2.01E-02,7.28E-05,1.51E-03
-1.82E-02,2.46E-02,1.39E-02,-5.77E-03,3.77E-02,2.01E-02,1.25E-04,1.50E-03
-1.84E-02,2.51E-02,1.38E-02,-5.98E-03,3.82E-02,1.99E-02,-9.52E-05,1.52E-03
-1.84E-02,2.53E-02,1.38E-02,-6.04E-03,3.84E-02,1.99E-02,-1.70E-04,1.53E-03
-1.83E-02,2.49E-02,1.39E-02,-5.86E-03,3.79E-02,2.00E-02,2.42E-05,1.52E-03
-1.82E-02,2.47E-02,1.39E-02,-5.77E-03,3.78E-02,2.01E-02,1.16E-04,1.51E-03
-1.83E-02,2.50E-02,1.38E-02,-5.93E-03,3.81E-02,2.00E-02,-5.02E-05,1.52E-03
-1.84E-02,2.52E-02,1.38E-02,-6.03E-03,3.83E-02,1.99E-02,-1.52E-04,1.54E-03
-1.83E-02,2.49E-02,1.39E-02,-5.90E-03,3.80E-02,2.00E-02,-1.53E-05,1.53E-03
-1.82E-02,2.47E-02,1.39E-02,-5.79E-03,3.78E-02,2.01E-02,9.20E-05,1.51E-03
-1.83E-02,2.50E-02,1.39E-02,-5.90E-03,3.80E-02,2.00E-02,-1.72E-05,1.52E-03
-1.84E-02,2.52E-02,1.38E-02,-6.00E-03,3.83E-02,1.99E-02,-1.25E-04,1.54E-03
-1.83E-02,2.50E-02,1.39E-02,-5.91E-03,3.81E-02,2.00E-02,-4.14E-05,1.52E-03
-1.83E-02,2.48E-02,1.39E-02,-5.82E-03,3.79E-02,2.01E-02,6.28E-05,1.51E-03
-1.83E-02,2.49E-02,1.39E-02,-5.89E-03,3.80E-02,2.00E-02,1.86E-06,1.52E-03
-1.84E-02,2.51E-02,1.38E-02,-5.99E-03,3.82E-02,1.99E-02,-9.52E-05,1.52E-03
-1.84E-02,2.50E-02,1.39E-02,-5.94E-03,3.81E-02,2.00E-02,-5.43E-05,1.52E-03
-1.83E-02,2.49E-02,1.39E-02,-5.85E-03,3.80E-02,2.01E-02,3.30E-05,1.52E-03
-1.84E-02,2.49E-02,1.39E-02,-5.88E-03,3.80E-02,2.00E-02,8.18E-06,1.53E-03
-1.84E-02,2.51E-02,1.38E-02,-5.96E-03,3.82E-02,2.00E-02,-6.76E-05,1.53E-03
-1.84E-02,2.51E-02,1.39E-02,-5.94E-03,3.81E-02,2.00E-02,-5.58E-05,1.53E-03
-1.84E-02,2.49E-02,1.39E-02,-5.87E-03,3.80E-02,2.00E-02,8.07E-06,1.52E-03
-1.84E-02,2.49E-02,1.39E-02,-5.87E-03,3.80E-02,2.00E-02,5.74E-06,1.53E-03
-1.84E-02,2.50E-02,1.39E-02,-5.92E-03,3.81E-02,2.00E-02,-4.60E-05,1.54E-03
-1.84E-02,2.51E-02,1.39E-02,-5.93E-03,3.82E-02,2.00E-02,-4.97E-05,1.55E-03
-1.84E-02,2.50E-02,1.39E-02,-5.89E-03,3.81E-02,2.01E-02,-9.43E-06,1.54E-03
-1.84E-02,2.50E-02,1.39E-02,-5.88E-03,3.80E-02,2.01E-02,-2.41E-06,1.55E-03
-1.84E-02,2.50E-02,1.39E-02,-5.90E-03,3.81E-02,2.00E-02,-3.21E-05,1.56E-03
-1.84E-02,2.51E-02,1.39E-02,-5.91E-03,3.81E-02,2.00E-02,-4.02E-05,1.56E-03
-1.84E-02,2.50E-02,1.39E-02,-5.89E-03,3.81E-02,2.00E-02,-1.97E-05,1.55E-03
-1.84E-02,2.50E-02,1.39E-02,-5.88E-03,3.81E-02,2.01E-02,-1.18E-05,1.55E-03
-1.84E-02,2.50E-02,1.39E-02,-5.89E-03,3.81E-02,2.00E-02,-2.51E-05,1.55E-03
-1.84E-02,2.50E-02,1.39E-02,-5.91E-03,3.81E-02,2.00E-02,-3.15E-05,1.54E-03
-1.84E-02,2.50E-02,1.39E-02,-5.92E-03,3.81E-02,2.00E-02,-2.44E-05,1.53E-03
-1.84E-02,2.50E-02,1.39E-02,-5.92E-03,3.81E-02,2.00E-02,-2.07E-05,1.53E-03
-1.84E-02,2.50E-02,1.39E-02,-5.92E-03,3.81E-02,2.00E-02,-2.33E-05,1.54E-03
-1.84E-02,2.50E-02,1.39E-02,-5.91E-03,3.81E-02,2.00E-02,-2.38E-05,1.53E-03
-1.84E-02,2.50E-02,1.39E-02,-5.92E-03,3.81E-02,2.00E-02,-2.43E-05,1.53E-03
-1.84E-02,2.50E-02,1.39E-02,-5.92E-03,3.81E-02,2.00E-02,-2.67E-05,1.54E-03
-1.84E-02,2.50E-02,1.39E-02,-5.92E-03,3.81E-02,2.00E-02,-2.46E-05,1.53E-03
-1.85E-02,2.50E-02,1.39E-02,-5.92E-03,3.81E-02,2.00E-02,-1.94E-05,1.53E-03
-1.84E-02,2.50E-02,1.39E-02,-5.92E-03,3.81E-02,2.00E-02,-2.16E-05,1.53E-03
-1.84E-02,2.50E-02,1.39E-02,-5.93E-03,3.81E-02,2.00E-02,-2.94E-05,1.53E-03
-1.84E-02,2.50E-02,1.39E-02,-5.93E-03,3.81E-02,2.00E-02,-2.72E-05,1.52E-03
-1.84E-02,2.50E-02,1.39E-02,-5.93E-03,3.80E-02,2.00E-02,-1.73E-05,1.51E-03
-1.84E-02,2.50E-02,1.39E-02,-5.94E-03,3.80E-02,2.00E-02,-1.90E-05,1.51E-03
-1.85E-02,2.50E-02,1.39E-02,-5.94E-03,3.81E-02,2.00E-02,-3.00E-05,1.52E-03
-1.84E-02,2.50E-02,1.39E-02,-5.95E-03,3.81E-02,2.00E-02,-2.98E-05,1.53E-03
-1.84E-02,2.50E-02,1.38E-02,-5.95E-03,3.80E-02,2.00E-02,-1.79E-05,1.52E-03
-1.85E-02,2.49E-02,1.39E-02,-5.95E-03,3.80E-02,2.00E-02,-1.64E-05,1.53E-03
-1.85E-02,2.50E-02,1.38E-02,-5.96E-03,3.80E-02,2.00E-02,-2.84E-05,1.54E-03
-1.85E-02,2.50E-02,1.38E-02,-5.96E-03,3.80E-02,2.00E-02,-3.11E-05,1.55E-03
-1.84E-02,2.49E-02,1.38E-02,-5.95E-03,3.80E-02,2.00E-02,-1.98E-05,1.55E-03
-1.84E-02,2.49E-02,1.38E-02,-5.95E-03,3.80E-02,2.00E-02,-1.58E-05,1.56E-03
-1.84E-02,2.49E-02,1.38E-02,-5.98E-03,3.80E-02,2.00E-02,-2.65E-05,1.55E-03
-1.85E-02,2.50E-02,1.38E-02,-5.98E-03,3.80E-02,2.00E-02,-3.18E-05,1.55E-03
-1.84E-02,2.50E-02,1.38E-02,-5.97E-03,3.80E-02,2.00E-02,-2.19E-05,1.55E-03
-1.85E-02,2.49E-02,1.38E-02,-5.97E-03,3.80E-02,2.00E-02,-1.57E-05,1.55E-03
-1.85E-02,2.49E-02,1.38E-02,-5.99E-03,3.80E-02,2.00E-02,-2.42E-05,1.55E-03
-1.85E-02,2.49E-02,1.38E-02,-6.01E-03,3.80E-02,2.00E-02,-3.15E-05,1.54E-03
-1.85E-02,2.49E-02,1.38E-02,-6.00E-03,3.80E-02,2.00E-02,-2.42E-05,1.55E-03
-1.85E-02,2.49E-02,1.38E-02,-5.99E-03,3.80E-02,2.00E-02,-1.67E-05,1.55E-03
-1.85E-02,2.49E-02,1.38E-02,-6.00E-03,3.80E-02,2.00E-02,-2.27E-05,1.55E-03
-1.85E-02,2.49E-02,1.38E-02,-6.02E-03,3.80E-02,1.99E-02,-3.02E-05,1.55E-03
-1.85E-02,2.49E-02,1.38E-02,-6.02E-03,3.80E-02,1.99E-02,-2.61E-05,1.54E-03
-1.85E-02,2.49E-02,1.38E-02,-6.00E-03,3.80E-02,2.00E-02,-1.81E-05,1.53E-03
-1.85E-02,2.49E-02,1.38E-02,-6.02E-03,3.80E-02,1.99E-02,-2.14E-05,1.54E-03
-1.85E-02,2.49E-02,1.38E-02,-6.02E-03,3.80E-02,1.99E-02,-2.81E-05,1.55E-03
-1.85E-02,2.49E-02,1.38E-02,-6.03E-03,3.80E-02,1.99E-02,-2.62E-05,1.56E-03
-1.85E-02,2.49E-02,1.38E-02,-6.03E-03,3.79E-02,1.99E-02,-2.00E-05,1.54E-03
-1.85E-02,2.49E-02,1.38E-02,-6.02E-03,3.79E-02,2.00E-02,-2.08E-05,1.54E-03
-1.85E-02,2.49E-02,1.38E-02,-6.02E-03,3.80E-02,1.99E-02,-2.65E-05,1.54E-03
-1.85E-02,2.49E-02,1.38E-02,-6.03E-03,3.80E-02,1.99E-02,-2.66E-05,1.53E-03
-1.85E-02,2.49E-02,1.38E-02,-6.02E-03,3.79E-02,1.99E-02,-2.14E-05,1.54E-03
-1.85E-02,2.49E-02,1.38E-02,-6.02E-03,3.80E-02,2.00E-02,-2.13E-05,1.55E-03
-1.85E-02,2.49E-02,1.38E-02,-6.03E-03,3.80E-02,1.99E-02,-2.53E-05,1.55E-03
-1.85E-02,2.49E-02,1.38E-02,-6.03E-03,3.80E-02,1.99E-02,-2.61E-05,1.55E-03
